Nombre;Letra
Me nace del corazon;Me nace del corazon Decirle que usted es mi vida Que no se vivir sin usted Disculpe que se lo diga Pero es que no aguanto mas Este amor me calcina! Me nace del corazon Y el corazon me domina Yo quiero sentir sus besos Sus manos que me acaricien Quiero comprobar que vivo No quiero morir de amor Hasta que escuche de su boca decir Que me quiere mucho y que este amor Que usted siente le nace del corazon Me nace del corazon Decirle que usted es mi vida Que no se vivir sin usted  Que no se vivir sin usted Disculpe que se lo diga Pero es que no aguanto mas Este amor me calcina Me nace del corazon Y el corazon me domina De usted me he enamorado Yo quiero decirle mil cosas Que no hace poquito tiempo Sintiendo estoy por usted Quiero beber de sus labios El agua de amor divina Tomarla de beso en beso Me estoy muriendo de sed Me nace del corazon De usted me he enamorado Yo quiero decirle mil cosas Que no hace poquito tiempo Sintiendo estoy por usted Quiero beber de sus labios El agua de amor divina Tomarla de beso en beso Me estoy muriendo de sed Yo quiero sentir sus besos Sus manos que me acaricien Quiero comprobar que vivo No quiero morir de amor Hasta que escuche su boca Decir que me quiere mucho Y que ese amor que usted siente Le nace y me nace del corazon
La farfasante;Yo crei que eras buena Yo crei que eras sincera Yo te di mi carino resultaste traicionera Tu me hiciste rebelde Tu me hiciste tu enemigo Porque me traicionaste sin razon y sin motivo Este orgullo que tengo no lo vas a mirar En el suelo tirado como una basura Yo me quito hasta el nombre Y te doy mi palabra de honor Que de mi no te burlas Yo te juro por todo lo que sucedio Que te arrepentiras de este mal que me haz hecho Sabes que  que no descansare hasta verte a mis pies Y eso dalo por hechoYa veras traicionera lo vas a pagar muy caro Yo soy bueno a la buena Y por la mala  soy muy malo No quisiste ser buena y ya ves lo que resulta Yo no quise ser malo pero tu tienes la culpa Y es que tu ya de mi no te vas a burlarHoy de puro capricho yo hare que me quierasYa veras que hasta vas a aprender como debes amar a Dios En tierra ajena Porque tu a mis espaldas me hiciste traicion  Hoy por eso te voy a quitar lo farsante Voy a hacer que tu en cara me pidas perdon y me implores amor  Delante de tu amante
la diferencia;Aunque malgastes  el tiempo sin mi carino Y aunque no quieras  este amor que yo te ofrezcoY aunque no quieras  pronunciar mi humilde nombre De cualquier modo  yo te seguire queriendo Yo se que nunca  tu querras jamas amarme Que a tu carino  llegue demasiado tarde No me desprecies  no es mi culpa  no seas mala Porque tu eres  de quien Yo quise enamorarme Que dano puedo hacerte con quererte Si no me quieres tu  yo TE comprendo Perfectamente se  que no naci yo para ti Pero que puedo hacer  si ya te quiero Dejame vivir de esta manera QUE YO Te quiero tal y cual sin condiciones Sin esperar que un dia  tu me quieras como yo Consciente estoy mi amor  que nunca me querras Tal vez manana  yo despierte solo Pero por el momento  quiero estar sonando No me despiertes tu  no ves que asi yo soy feliz Consciente estoy mi amor  que no eres para mi No hay necesidad que me desprecies Tu ponte en mi lugar  a ver que harias La diferencia  entre tu y yo  seria corazon Que yo en tu lugar    que yo en tu lugar   Si      SI te amaria
inocente pobre amigo;Te pareces tanto a mi que no puedes enganarme nada ganas con mentir mejor dime la verdad se que me vas a abandonar y se muy bien por quien lo haces crees que no me daba cuenta? lo que pasa es que ya no quiero mas problemas con tu amor Que te vas a ir con el esta bien yo no me opongo te deseo que seas feliz pero te voy a advertir que si vuelves otra vez no respondo crees que yo no me doy cuenta lo que pasa es que ya no quiero mas problemas con tu amor Se de un tonto que te quiere y que se enamoro de ti se bien que los dos se entienden y que los dos se rien de mi crees que yo no me doy cuenta pues ya ves que no es asi Hace tiempo que lo se y yo jamas te dije nada y a pesar de tu traicion te di la oportunidad de que recapacitaras crees que yo no me doy cuenta lo que pasa es que ya no quise mas problemas con tu amor Y ese tonto que te quiere y que se enamoro de ti no sabe lo que le espera y piensa que va a ser feliz inocente pobre amigo no sabe que va a sufrif sobre aviso no hay engano y se muy bien que ya te vas dile a ese que hoy te ama que para amarte nada masque para eso a el le falta lo que yo tengo de mas Te pareces tanto a mi   jajajajajaja   que no puedes enganarme
he venido a pedirte perdon;"Canto de tristeza por que lo nuestro termino te vas  ya nunca volveras te olvidaras de mi y hoy muy triste me quedo solo sin ti Que seas muy feliz deseo mi amor que nunca llores que nunca sufras asi Escucha esta cancion que escribi para ti  mi amor Con esta mi cancion he venido a pedirte perdon que nunca llores que nunca sufras asi Que encuentres carino y todo el amor que yo jamas te pude dar;tu que eres tan buena mereces ternura y carino;yo tuve la culpa de todo no supe tu amor aquilatar merezco tu olvido y tu ausencia ya nunca tendre mas tu amor Adios   mi amor hoy con esta cancion que escribi para ti  mi amor he venido a pedirte que perdonespor favor por amor  mi error  mi accion Se que nunca tu querras volver y yo quiero por ultimo decirte amor que yo te seguire amando Adios  mi amor hoy con esta cancion que escribi para ti  mi amor he venido a pedirte que perdonespor favor  por amor  mi error Se que nunca Adios  mi amor"
besame;Besame   dame solo un beso dame solo un beso tuyo deja a un lado el loco orgullo que no deja que te acerques un poquito a mi  Dame un beso aqui en mi boca que tu boca me provoca y a mi vida vuelve loca mas no quiero que tu pienses que por conseguir Que tu cumplas mis antojos si no mirame a los ojos tu sabras si estoy mintiendo porque no es asi  Es porque desde hace buen tiempo este amor por ti yo lo siento tanto que te adoro de mas  Necesito un beso vamos dame un beso no seas tan timida nena nada te va a pasar Besame a quien le tienes tanto miedo besame besame a quien le tienes tanto miedo besame necesito un besovamos  dame un beso ven y dame un beso
bueos dias senor sol;Todas las mananas que entra por mi ventana el senor sol Doy gracias a dios por otro dia mas Hoy como otros dias yo seguire tratando ser mejor Y sonriendo hare las cosas con amor Buenos dias alegria buenos dias al amor Buenos dias a la vida buenos dias senor sol Yo seguire tratando ser mejor Yo seguire tratando ser mejor Buenos dias Todas las mananas que entra por mi ventana el senor sol Doy gracias a dios por otro dia mas Hoy como otros dias yo seguire tratando ser mejor Y sonriendo hare las cosas con amor Buenos dias alegria buenos dias al amor Buenos dias a la vida buenos dias senor sol Yo seguire tratando ser mejor Yo seguire tratando ser mejor Buenos dias Yo seguire tratando ser mejor Yo seguire tratando ser mejor Buenos dias
siempre en mi mente;Tu estas siempre en mi mente Pienso en ti amor cada instante Como quieres tu Que te olvide si estas tu Siempre tu  tu siempre en mi mente Tu estas siempre en mi mente Pienso en ti amor cada instante Como quieres tu que te olvide si estas tu Siempre tu  tu siempre en mi mente Que voy hacer no se no encuentro nada nada La solucion no se como encontrarla Dime trato de olvidarte y yo Quiero olvidarte y yo no se Como te olvido Siempre en mi mente Tu estas siempre en mi mente Como hicistes tu para olvidarme Ayudame a olvidar En mi mente siempre estas Siempre tu   tu siempre en mi mente Que voy hacer no se no encuentro nada nada La solucion no se como encontrarla Dime trato de olvidarte y yoQuiero olvidarte y yo no se Como te olvido Siempre en mi mente Como te olvido Siempre en mi mente Vida mia Siempre en mi mente Como te olvido Siempre en mi mente
;
;
